epoch,train_loss,val_loss,train_acc,val_acc,lr,epoch_time_sec
1,2.125784477996826,1.9767249622344971,0.2052,0.254,0.0009938441702975688,18.58475929999986
2,1.89396268825531,1.7882512855529784,0.2796,0.337,0.0009755282581475768,18.778040499999406
3,1.7742947288513184,1.632495041847229,0.3322,0.359,0.0009455032620941839,18.535721000000194
4,1.6394519409179686,1.5310074167251586,0.3826,0.398,0.0009045084971874737,18.81830430000082
5,1.6005197847366333,1.4483435611724853,0.4018,0.452,0.0008535533905932737,18.81198039999981
6,1.5263081136703491,1.5007422380447388,0.4292,0.458,0.0007938926261462366,18.35696050000115
7,1.5113186820983886,1.3761781129837036,0.4396,0.458,0.0007269952498697733,18.704337199998918
8,1.4547784023284913,1.3579547252655029,0.46,0.484,0.0006545084971874737,18.990644400000747
9,1.4181940326690674,1.344959469795227,0.4662,0.489,0.0005782172325201155,18.571248000000196
10,1.388350376701355,1.3338267993927002,0.4864,0.499,0.0005,19.008969499998784
11,1.3472559349060058,1.3212781887054443,0.5004,0.499,0.0004217827674798847,18.4843278999997
12,1.3249633165359498,1.2890273342132568,0.5164,0.52,0.00034549150281252633,18.58569510000052
13,1.303284717941284,1.2705294294357299,0.5124,0.507,0.00027300475013022663,18.775091699999393
14,1.2686622051239014,1.2370832834243775,0.5372,0.517,0.00020610737385376348,19.375444999999672
15,1.2452364902496338,1.2417266902923585,0.535,0.525,0.00014644660940672625,18.974512900000263
16,1.2406003162384034,1.2154072484970093,0.5374,0.536,9.549150281252631e-05,19.3224338
17,1.2288780527114869,1.221592402458191,0.549,0.528,5.4496737905816096e-05,19.071125199998278
18,1.2273017314910888,1.209498091697693,0.542,0.534,2.447174185242323e-05,19.222344600000724
19,1.2095734663009643,1.2094957752227784,0.5522,0.539,6.15582970243117e-06,18.90984589999971
20,1.207488077545166,1.208922700881958,0.5574,0.539,0.0,19.00502310000047
