epoch,train_loss,val_loss,train_acc,val_acc,lr,epoch_time_sec
1,2.0651324337005614,1.8783332300186157,0.2298,0.311,0.0009938441702975688,11.964695100003155
2,1.8281154390335084,1.780556541442871,0.3268,0.361,0.0009755282581475768,11.755119499997818
3,1.6608738037109374,1.6196994113922119,0.3938,0.407,0.0009455032620941839,11.871318600002269
4,1.5769281251907348,1.5456204624176026,0.4216,0.447,0.0009045084971874737,11.751358800000162
5,1.5025661937713624,1.44971116065979,0.4522,0.467,0.0008535533905932737,11.730897699999332
6,1.4372440938949584,1.4059513034820557,0.4762,0.479,0.0007938926261462366,11.88423010000406
7,1.383724645805359,1.4128062028884887,0.4936,0.458,0.0007269952498697733,12.091386300002341
8,1.3478402360916137,1.3302055883407593,0.5152,0.524,0.0006545084971874737,12.01062290000118
9,1.3088127979278565,1.312255313873291,0.5286,0.52,0.0005782172325201155,12.088363499999105
10,1.232146990585327,1.2891124439239503,0.5458,0.537,0.0005,12.048864800002775
11,1.2203116973876953,1.2865229444503785,0.5554,0.533,0.0004217827674798847,12.097797499998705
12,1.1838635894775391,1.2339487323760987,0.5742,0.551,0.00034549150281252633,11.940446099994006
13,1.1417991621017456,1.246717755317688,0.5912,0.538,0.00027300475013022663,12.06260679999832
14,1.1283444127082825,1.2186205577850342,0.5952,0.556,0.00020610737385376348,10.968429699998524
15,1.099275522327423,1.196466926574707,0.5976,0.567,0.00014644660940672625,3.663048100002925
16,1.0782479816436767,1.1977287378311157,0.6152,0.575,9.549150281252631e-05,3.4559284999995725
17,1.0617081274032594,1.1736861648559571,0.6168,0.574,5.4496737905816096e-05,10.251107600000978
18,1.0297607929229737,1.1668927354812622,0.6288,0.577,2.447174185242323e-05,11.97322990000248
19,1.0322624053955078,1.1683266553878784,0.629,0.585,6.15582970243117e-06,12.49497269999847
20,1.038598702430725,1.1677826113700867,0.6228,0.586,0.0,12.924007900001016
