epoch,train_loss,val_loss,train_acc,val_acc,lr,epoch_time_sec
1,3.136854946899414,2.304626054763794,0.1014,0.096,0.03,5.935804399996414
2,2.310399380874634,2.306865884780884,0.0938,0.112,0.03,8.920986899996933
3,2.32709140586853,2.303173667907715,0.0944,0.109,0.03,58.06560460000037
4,2.3121508384704588,2.30579923248291,0.094,0.109,0.03,113.25846110000566
5,2.828688941192627,2.3088520545959472,0.1004,0.112,0.03,110.71269640000537
6,2.373205386734009,2.3102686862945556,0.0872,0.095,0.03,104.89890140000352
7,2.3131806560516357,2.3051701202392576,0.0994,0.099,0.03,106.88263139999617
8,2.3262001319885255,2.3081959075927734,0.0954,0.099,0.03,113.706122100004
9,2.3108239513397217,2.302666391372681,0.1002,0.102,0.03,107.31986010000401
10,2.3101213500976563,2.320658779144287,0.096,0.084,0.03,80.52187250000134
11,9.819102618026733,2.3092138175964356,0.1052,0.111,0.03,51.301436800000374
12,2.3111703826904297,2.308563259124756,0.0934,0.109,0.03,53.64783959999477
13,2.310453016662598,2.3088139572143556,0.0906,0.102,0.03,57.64656089999335
14,2.3117324214935304,2.3083289756774903,0.0966,0.099,0.03,59.595736499999475
15,9.354530437850952,2.3150703315734864,0.0954,0.109,0.03,55.146040300001914
16,2.311934694671631,2.3080589389801025,0.096,0.095,0.03,54.24451420000696
17,2.7583440994262696,2.309401817321777,0.0942,0.089,0.03,55.195416299997305
18,2.3098808460235594,2.314852073669434,0.1042,0.095,0.03,54.600897299998906
19,3.242958360671997,2.3081338195800782,0.1014,0.084,0.03,51.742963299999246
20,2.309540371322632,2.3083044052124024,0.0966,0.102,0.03,47.59188140000333
