epoch,train_loss,val_loss,train_acc,val_acc,lr,epoch_time_sec
1,2.1730651596069337,2.037904350280762,0.1926,0.248,0.00029815325108927063,12.417098400001123
2,1.9954135095596313,1.8836476154327393,0.2538,0.303,0.00029265847744427303,11.892925600004673
3,1.8542636779785155,1.7131119775772095,0.3076,0.342,0.0002836509786282552,12.237944500004232
4,1.762309267807007,1.635157509803772,0.3382,0.402,0.0002713525491562421,12.134836500001256
5,1.6929138076782226,1.5434229803085326,0.3498,0.409,0.0002560660171779821,12.220213100001274
6,1.6476700944900513,1.559237759590149,0.3858,0.428,0.000238167787843871,12.087423799996031
7,1.6131862186431885,1.4635887479782104,0.3962,0.442,0.00021809857496093204,12.13856809999561
8,1.5683894569396972,1.4687105798721314,0.403,0.447,0.00019635254915624216,12.340632999999798
9,1.5538481002807618,1.4372505407333374,0.4156,0.434,0.00017346516975603468,11.939251600000716
10,1.5097416177749634,1.4229783420562745,0.4414,0.445,0.00015000000000000001,12.00474309999845
11,1.5029627674102783,1.4225619735717774,0.45,0.455,0.0001265348302439654,12.327810099995986
12,1.4794149494171143,1.3808115520477295,0.451,0.472,0.0001036474508437579,12.096583200000168
13,1.473965482711792,1.3798628816604614,0.4568,0.455,8.190142503906799e-05,12.166599200005294
14,1.4446176364898682,1.3672239055633546,0.4654,0.47,6.183221215612905e-05,11.867259099999501
15,1.4404849933624269,1.3764850482940674,0.4724,0.472,4.393398282201788e-05,12.029003600000578
16,1.4251074516296387,1.3532222719192506,0.4834,0.472,2.86474508437579e-05,12.097116099997947
17,1.4231815219879151,1.3515135202407838,0.4736,0.476,1.6349021371744834e-05,12.34755949999817
18,1.4214308959960937,1.3488680953979493,0.4738,0.476,7.341522555726972e-06,12.011223600005906
19,1.4173160462379455,1.346231686592102,0.4726,0.479,1.8467489107293517e-06,12.720708200002264
20,1.4111241647720336,1.3462249088287352,0.4774,0.483,0.0,12.465673400001833
