epoch,train_loss,val_loss,train_acc,val_acc,lr,epoch_time_sec
1,2.2754050716400145,2.204051525115967,0.1348,0.219,9.938441702975689e-05,12.073151500000677
2,2.137037657546997,2.0521369895935058,0.2046,0.235,9.755282581475769e-05,12.115340999996988
3,2.0525536273956297,1.97523677444458,0.2402,0.277,9.45503262094184e-05,12.07180679999874
4,2.002954940414429,1.9341665496826173,0.2534,0.291,9.045084971874738e-05,12.222010799996497
5,1.953124028968811,1.8584230098724366,0.2622,0.335,8.535533905932738e-05,11.837729999999283
6,1.9234219776153565,1.8328635692596436,0.2892,0.341,7.938926261462366e-05,11.900842100003501
7,1.893762340927124,1.784619010925293,0.2852,0.357,7.269952498697734e-05,11.769909700000426
8,1.8607325199127198,1.7575494298934937,0.3048,0.357,6.545084971874738e-05,16.971369799997774
9,1.8297932956695557,1.72103564453125,0.3102,0.369,5.782172325201156e-05,16.32980359999783
10,1.814371809387207,1.725817979812622,0.3228,0.377,5.000000000000001e-05,11.849726599997666
11,1.803815251159668,1.7024807834625244,0.3246,0.367,4.217827674798848e-05,11.744844799999555
12,1.7969050136566163,1.6982668533325196,0.3274,0.38,3.454915028125264e-05,11.116606499999762
13,1.7808737243652344,1.684432168006897,0.3262,0.381,2.730047501302267e-05,12.238482200002181
14,1.7611908687591553,1.6804251699447632,0.3388,0.374,2.0610737385376356e-05,11.736571500005084
15,1.7558208251953125,1.6699836978912352,0.3488,0.378,1.464466094067263e-05,11.9553287000017
16,1.7456853588104249,1.6660176372528077,0.3428,0.382,9.549150281252635e-06,11.907243000001472
17,1.7547869262695313,1.6625602703094482,0.3442,0.385,5.4496737905816115e-06,11.999773199997435
18,1.7532638153076172,1.6622427368164063,0.3432,0.388,2.4471741852423237e-06,11.474343599998974
19,1.7512140321731566,1.6591922149658203,0.345,0.385,6.155829702431171e-07,11.088154799996119
20,1.7440402767181395,1.6589967184066772,0.3434,0.387,0.0,8.5395795000004
