epoch,train_loss,val_loss,train_acc,val_acc,lr,epoch_time_sec
1,93.47619375915528,2.305659593582153,0.099,0.096,0.05,3.5437120999995386
2,2.3069031520843506,2.3054467334747315,0.1036,0.103,0.05,3.399100599999656
3,2.3073410488128663,2.304614109039307,0.096,0.109,0.05,3.533233999994991
4,12.41848080368042,2.308961393356323,0.0968,0.084,0.05,3.498626799999329
5,2.306791471862793,2.30145645904541,0.0962,0.112,0.05,3.5490303999977186
6,2.307740818786621,2.30332275390625,0.0902,0.103,0.05,3.5001617000016267
7,2.3076236228942872,2.30327099609375,0.091,0.109,0.05,3.7733302999986336
8,2.3060797695159914,2.3087120456695556,0.1034,0.099,0.05,6.1133823999989545
9,2.307871677017212,2.3037288627624513,0.0944,0.103,0.05,17.385120099999767
10,2.3090944850921633,2.309490509033203,0.0976,0.089,0.05,14.815063900001405
11,2.309596781539917,2.3102079067230226,0.096,0.084,0.05,15.654658199993719
12,2.3063794193267824,2.3052602100372312,0.1052,0.109,0.05,17.22618710000097
13,2.3067293209075928,2.3066079921722413,0.106,0.112,0.05,18.155513199999405
14,2.3081387203216552,2.3072960968017577,0.0934,0.109,0.05,15.762825899997551
15,2.307027982330322,2.3080912075042725,0.1,0.111,0.05,17.233686400002625
16,2.308250698471069,2.3034948196411134,0.096,0.102,0.05,22.56619050000154
17,2.3073933795928956,2.303948226928711,0.0998,0.103,0.05,21.75918510000338
18,2.308523120880127,2.313782865524292,0.0936,0.103,0.05,5.6615347000042675
19,2.312612255477905,2.303552183151245,0.0998,0.099,0.05,5.882349899999099
20,2.307688623046875,2.3095525169372557,0.0938,0.109,0.05,8.781585500000801
