epoch,train_loss,val_loss,train_acc,val_acc,lr,epoch_time_sec
1,2.052089352798462,1.821093864440918,0.2306,0.32,0.0009938441702975688,3.501094600003853
2,1.7833809337615967,1.6031378030776977,0.3368,0.398,0.0009755282581475768,3.5792396000033477
3,1.664414422416687,1.6066785278320312,0.3768,0.424,0.0009455032620941839,3.5646521000016946
4,1.5655409740447999,1.4501253566741943,0.4256,0.442,0.0009045084971874737,6.360993399997824
5,1.4958478340148926,1.397707010269165,0.4552,0.479,0.0008535533905932737,11.541653000000224
6,1.4437580934524537,1.3153591890335083,0.4592,0.516,0.0007938926261462366,11.845661300001666
7,1.3846872764587401,1.3481528635025024,0.4896,0.504,0.0007269952498697733,11.263089899999613
8,1.3515180374145508,1.2596696825027467,0.506,0.538,0.0006545084971874737,8.038758000002417
9,1.2903545440673827,1.2421178464889526,0.53,0.555,0.0005782172325201155,3.5538776999965194
10,1.2456474380493163,1.2085487375259398,0.5434,0.552,0.0005,3.669217299997399
11,1.2101320145606995,1.1866885919570922,0.5636,0.571,0.0004217827674798847,3.9390386000013677
12,1.1746343423843384,1.1674149255752564,0.574,0.575,0.00034549150281252633,15.97134169999481
13,1.1487397663116454,1.138067177772522,0.588,0.589,0.00027300475013022663,20.81713149999996
14,1.1176043235778808,1.1170458307266236,0.5948,0.604,0.00020610737385376348,16.029895700005
15,1.0827745458602904,1.1021242971420289,0.6108,0.596,0.00014644660940672625,3.582493300003989
16,1.0456310298919678,1.0855865631103516,0.6262,0.605,9.549150281252631e-05,3.507022199999483
17,1.026167197418213,1.101150384902954,0.6248,0.613,5.4496737905816096e-05,3.6235140999997384
18,1.0211061366081238,1.0920278816223143,0.6288,0.61,2.447174185242323e-05,3.81532299999526
19,1.0306463483810424,1.081883328437805,0.6296,0.615,6.15582970243117e-06,3.956061700002465
20,1.0141648433685302,1.0803521451950073,0.6302,0.616,0.0,4.177545099999406
