epoch,train_loss,val_loss,train_acc,val_acc,lr,epoch_time_sec
1,2.2975952251434326,2.2926524295806883,0.111,0.177,1e-05,3.943652900001325
2,2.2869884082794187,2.2804190883636473,0.1562,0.173,1e-05,3.56115950000094
3,2.2719902389526365,2.2610779743194582,0.1612,0.184,1e-05,3.681250800000271
4,2.247938263320923,2.2308726234436036,0.2076,0.194,1e-05,3.6569563999946695
5,2.209954891204834,2.185065582275391,0.2158,0.242,1e-05,3.898178600000392
6,2.1693618927001954,2.138077007293701,0.2196,0.246,1e-05,3.5916244000036386
7,2.1251919864654543,2.094431785583496,0.2364,0.245,1e-05,3.7822259000022314
8,2.0914006591796874,2.0611607284545896,0.2388,0.268,1e-05,3.873972800000047
9,2.0659950805664065,2.0353596687316893,0.2388,0.272,1e-05,3.837782000002335
10,2.0366407180786132,2.014067470550537,0.2568,0.277,1e-05,3.715660299996671
11,2.0178567935943605,1.9962832851409913,0.2584,0.28,1e-05,3.697021100000711
12,2.008447723388672,1.9875777378082276,0.2552,0.291,1e-05,3.6711027000055765
13,1.9979448919296265,1.968413230895996,0.2566,0.302,1e-05,3.6625104999984615
14,1.9848303655624389,1.9599914722442626,0.263,0.294,1e-05,3.8325699000051827
15,1.9740876623153687,1.9513500423431396,0.2794,0.302,1e-05,3.6203676000004634
16,1.9578872783660888,1.9370171852111817,0.278,0.313,1e-05,3.7393964999937452
17,1.9554649543762208,1.9221129722595214,0.2798,0.317,1e-05,3.6904405999957817
18,1.9524204830169678,1.9197381763458252,0.2738,0.321,1e-05,3.9526285999963875
19,1.9471575099945069,1.9053200931549072,0.2778,0.328,1e-05,3.706566600005317
20,1.9273321779251098,1.9059915561676026,0.2864,0.327,1e-05,3.7965646000011475
