epoch,train_loss,val_loss,train_acc,val_acc,lr,epoch_time_sec
1,2.1781590229670207,2.008917469024658,0.194,0.284,0.0009938441702975688,1.2395336999979918
2,1.8913374497095743,1.8202249011993408,0.298,0.341,0.0009755282581475768,1.14500119999866
3,1.693490914026896,1.6638998947143555,0.39,0.396,0.0009455032620941839,1.1793411999969976
4,1.5265268100102742,1.5954005784988403,0.43133333333333335,0.416,0.0009045084971874737,1.1569059000030393
5,1.394448319117228,1.5814421272277832,0.486,0.405,0.0008535533905932737,1.159194399995613
6,1.2898043381373088,1.5731251621246338,0.5286666666666666,0.436,0.0007938926261462366,1.217404399998486
7,1.154656104405721,1.6214332284927369,0.5986666666666667,0.445,0.0007269952498697733,1.1664450999960536
8,1.0506445943514506,1.5870424060821533,0.5973333333333334,0.434,0.0006545084971874737,2.7809940000006463
9,0.9357813566525777,1.599598780632019,0.6766666666666666,0.47,0.0005782172325201155,3.9247124000030453
10,0.8266255540847778,1.6739826545715333,0.706,0.458,0.0005,3.794250800005102
11,0.7040096996625265,1.6556009979248048,0.7666666666666667,0.453,0.0004217827674798847,3.7752670999980182
12,0.5947945574124655,1.7131591711044312,0.8126666666666666,0.472,0.00034549150281252633,3.5693811000019195
13,0.5051476708253224,1.7450808792114259,0.8493333333333334,0.468,0.00027300475013022663,3.638618299999507
14,0.44406501221656797,1.786964720726013,0.882,0.467,0.00020610737385376348,3.8018338000038057
15,0.3817773092587789,1.8374486017227172,0.8946666666666667,0.474,0.00014644660940672625,4.02738859999954
16,0.34699928577740985,1.8692972011566162,0.9133333333333333,0.466,9.549150281252631e-05,4.035277299997688
17,0.31169253937403363,1.8812113027572632,0.932,0.461,5.4496737905816096e-05,3.865812099997129
18,0.30190495936075845,1.8960120620727539,0.936,0.469,2.447174185242323e-05,3.982876900001429
19,0.282643300652504,1.9090023279190063,0.9446666666666667,0.475,6.15582970243117e-06,3.8355962999994517
20,0.2762132091522217,1.911086669921875,0.95,0.476,0.0,3.938056899998628
