epoch,train_loss,val_loss,train_acc,val_acc,lr,epoch_time_sec
1,2.0808549909591676,1.8623310146331786,0.2256,0.309,0.0009938441702975688,12.4356187999947
2,1.8109874607086183,1.6548784503936766,0.3256,0.388,0.0009755282581475768,12.070982799996273
3,1.6651890539169312,1.6365389490127564,0.3766,0.375,0.0009455032620941839,11.995949500000279
4,1.5580059299468993,1.446816686630249,0.418,0.449,0.0009045084971874737,12.040078500001982
5,1.506838074684143,1.3588641862869262,0.4432,0.476,0.0008535533905932737,12.204608699998062
6,1.4416288675308226,1.3296076307296754,0.4704,0.51,0.0007938926261462366,12.335591600000043
7,1.388767645263672,1.3159419269561767,0.4886,0.488,0.0007269952498697733,12.30326950000017
8,1.3450129272460938,1.3151133289337158,0.498,0.516,0.0006545084971874737,12.302274599998782
9,1.2943298711776734,1.2220057783126832,0.5266,0.551,0.0005782172325201155,12.06255670000246
10,1.2483028871536255,1.1908851871490478,0.5408,0.569,0.0005,12.292162099998677
11,1.2113499370574952,1.1724151759147643,0.56,0.561,0.0004217827674798847,12.471272599999793
12,1.180271441078186,1.142124587059021,0.5708,0.59,0.00034549150281252633,12.415171399996325
13,1.136717197227478,1.1256317930221558,0.586,0.58,0.00027300475013022663,11.895051200001035
14,1.109033440876007,1.1099119482040405,0.5934,0.604,0.00020610737385376348,12.060446700001194
15,1.091677343559265,1.0872226643562317,0.5988,0.597,0.00014644660940672625,12.166994199993496
16,1.06245519657135,1.081108097076416,0.605,0.599,9.549150281252631e-05,12.45961289999832
17,1.042545931816101,1.0772777280807495,0.6226,0.613,5.4496737905816096e-05,12.275815499997407
18,1.0334353544235229,1.0779851903915405,0.6224,0.6,2.447174185242323e-05,12.724210799999128
19,1.0276385727882384,1.073480197906494,0.6222,0.617,6.15582970243117e-06,12.894847099996696
20,1.016475769519806,1.070150825023651,0.6392,0.612,0.0,12.974375700003293
