epoch,train_loss,val_loss,train_acc,val_acc,lr,epoch_time_sec
1,2.1212479756673175,1.9744741830825805,0.20866666666666667,0.287,0.0009938441702975688,2.3104051999980584
2,1.8734360926946003,1.8200356674194336,0.29833333333333334,0.321,0.0009755282581475768,2.3768307999998797
3,1.7072548605600992,1.6420815753936768,0.34833333333333333,0.396,0.0009455032620941839,2.3857710999945994
4,1.6110450270970662,1.626857919692993,0.40066666666666667,0.406,0.0009045084971874737,2.5012735999989673
5,1.5377798391977946,1.5433561792373658,0.42533333333333334,0.427,0.0008535533905932737,2.651734999999462
6,1.4656660709381104,1.484693365097046,0.45066666666666666,0.434,0.0007938926261462366,2.6158347000018694
7,1.424520788192749,1.429132336616516,0.4756666666666667,0.487,0.0007269952498697733,2.613998499997251
8,1.3714581727981567,1.4019441394805907,0.4886666666666667,0.483,0.0006545084971874737,2.6888381999960984
9,1.335306803703308,1.34507594871521,0.5006666666666667,0.499,0.0005782172325201155,2.4867344000012963
10,1.2747294305165608,1.3640039768218994,0.5316666666666666,0.483,0.0005,2.3759945000056177
11,1.253914192199707,1.3447513647079468,0.5273333333333333,0.493,0.0004217827674798847,4.990127000004577
12,1.195492312749227,1.307759123802185,0.5586666666666666,0.514,0.00034549150281252633,8.770574200003466
13,1.1677748958269756,1.3501858520507812,0.5736666666666667,0.487,0.00027300475013022663,2.171923300003982
14,1.14558273601532,1.277367024421692,0.5846666666666667,0.519,0.00020610737385376348,2.162569200001599
15,1.1331779123942056,1.2780168352127075,0.5913333333333334,0.526,0.00014644660940672625,2.375950300003751
16,1.0927037982940673,1.246546187400818,0.6026666666666667,0.53,9.549150281252631e-05,2.473284599996987
17,1.0689835974375408,1.2548843231201172,0.6053333333333333,0.528,5.4496737905816096e-05,2.432783500000369
18,1.0536770683924357,1.2433158130645752,0.6233333333333333,0.531,2.447174185242323e-05,6.104831600001489
19,1.0475958450635274,1.246402668952942,0.619,0.531,6.15582970243117e-06,12.94698210000206
20,1.0425988502502441,1.2439485187530517,0.618,0.534,0.0,2.5738300000011805
